STAGE,UIC,PARNO,LN,GRADE,PRI_MOS,ALT_MOS,SQI,GRADE_VAR_UP,GRADE_VAR_DN,TEMPLET,PARENT_UIC
1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,9,9,FALSE,FALSE
2,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE
3,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
4,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE
5,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
6,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE
7,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
8,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,TRUE
9,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
10,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,TRUE
11,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE
12,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,FALSE,TRUE
13,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,FALSE,FALSE
